locId,countryCode,subnational1,subnational2,latitude,longitude,name,lastVisit,speciesCount
L18712260,SG,SG-,,1.2869195,103.8039108,123 Bukit Merah Lane,2024-11-09 12:40,40
L10072680,SG,SG-,,1.4592475,103.8160775,Admiralty Lane,2024-12-07 10:19,32
L4628522,SG,SG-,,1.4440235,103.7816566,Admiralty Park,2025-01-01 07:59,130
L17258825,SG,SG-,,1.286888,103.7983963,Alexandra Woodland,2024-11-16 08:00,40
L12759233,SG,SG-,,1.379612,103.8730033,Ang Mo Kio Linear Park with Luxus Hills Park,2023-10-15 09:30,45
L6574700,SG,SG-,,1.3743799,103.8424355,Ang Mo Kio Town Garden West,2024-11-05 07:36,79
L4650249,SG,SG-,,1.4193871,103.8275063,Bah Soon Pah Road,2023-03-14 13:39,49
L28141053,SG,SG-,,1.2940236,103.8682437,Bay east Garden Visitor Centre,2024-12-26 18:00,48
L6004235,SG,SG-,,1.3357291,103.9162016,Bedok North,2024-06-12 18:59,19
L12202847,SG,SG-,,1.3359733,103.9501971,Bedok North Avenue 4,2024-10-20 19:02,23
L12531015,SG,SG-,,1.3417956,103.9317776,Bedok Reservoir Park,2024-09-20 18:15,76
L3856913,SG,SG-,,1.2678947,103.8047826,Berlayer Creek Boardwalk,2025-01-06 11:51,151
L3345783,SG,SG-,,1.340269,103.873989,Bidadari,2025-01-03 11:00,186
L38405173,SG,SG-,,1.3406925,103.8743699,Bidadari Park,2025-01-13 15:40,76
L36188197,SG,SG-,,1.3646947,103.8374099,"Bishan Pond Gardens, Singapore",2025-01-12 13:03,52
L3901811,SG,SG-,,1.3633753,103.8442487,Bishan-Ang Mo Kio Park,2025-01-12 08:40,163
L6337303,SG,SG-,,1.452288,103.8181008,"Block 406A, 411 Sembawang Drive, Sembawang",2023-01-14 15:02,38
L9360035,SG,SG-,,1.3715864,103.9542822,Block 422 Pasir Ris,2024-10-12 13:45,40
L12615039,SG,SG-,,1.358752,103.7459565,Bukit Batok Hillside Park,2023-08-12 08:00,42
L934775,SG,SG-,,1.3487,103.7634659,Bukit Batok Nature Park,2025-01-08 08:30,156
L6002218,SG,SG-,,1.3562939,103.7538636,Bukit Batok Town Park (Little Guilin),2024-11-02 16:32,71
L4190256,SG,SG-,,1.3359838,103.8230538,Bukit Brown Cemetery,2024-11-22 08:23,132
L16558417,SG,SG-,,1.367003,103.7519431,Bukit Gombak Park,2024-12-14 18:46,65
L7993424,SG,SG-,,1.3830219,103.7653578,Bukit Panjang Park,2024-11-08 06:48,76
L987628,SG,SG-,,1.3546626,103.7761313,Bukit Timah Nature Reserve,2025-01-12 08:30,214
L6130446,SG,SG-,,1.2356515,103.7636805,Bukom Island,2018-03-03 15:35,13
L6668285,SG,SG-,,1.362415,103.7318373,Bulim Forest,2024-03-07 09:00,68
L1481777,SG,SG-,,1.3514215,103.8064206,CCNR--Jelutong Tower,2025-01-10 07:41,209
L9791460,SG,SG-,,1.3364348,103.8388279,Caldecott Wood,2024-08-17 09:08,26
L10144518,SG,SG-,,1.3714903,103.7675742,Cashew Park / Cashew Heights,2024-11-09 20:58,52
L13802394,SG,SG-,,1.2773221,103.8570597,Central Boulevard,2024-11-17 17:17,105
L6001986,SG,SG-,,1.2850114,103.8509649,Central Business District (CBD) of Singapore,2025-01-13 15:43,62
L1073968,SG,SG-,,1.354864,103.7969908,Central Catchment Nature Reserve,2025-01-08 07:20,229
L927976,SG,SG-,,1.4075115,103.7784058,Central Catchment Nature Reserve: Mandai Track 15,2024-10-27 12:40,136
L1122092,SG,SG-,,1.3618,103.9717,Changi,2024-08-21 10:27,88
L18726924,SG,SG-,,1.3687342,104.0129319,Changi Bay Point,2024-10-18 13:12,120
L934800,SG,SG-,,1.3918652,103.9899623,Changi Beach Park,2025-01-05 18:08,129
L13473437,SG,SG-,,1.3799918,104.0035129,"Changi Beach Park--CP6, CP7 and in-between",2024-11-09 09:06,88
L6001587,SG,SG-,,1.3368997,103.9663669,Changi Business Park,2025-01-12 10:00,176
L10221601,SG,SG-,,1.3432492,103.9669349,Changi Business Park canal,2024-12-28 07:10,138
L15557698,SG,SG-,,1.3177265,103.9807916,Changi Coast Walk (near NSRCC) and surrounds,2024-10-05 16:30,50
L1459795,SG,SG-,,1.3534911,104.02246,Changi Cove and Grasslands,2023-03-24 07:00,183
L1337067,SG,SG-,,1.3579874,103.9890058,Changi International Airport,2025-01-11 14:10,104
L13082797,SG,SG-,,1.3173378,104.0209523,Changi Naval Base (restricted access),2024-05-15 07:28,9
L5886524,SG,SG-,,1.3922754,103.9810038,Changi Point Coastal Walk,2025-01-10 20:00,95
L6001655,SG,SG-,,1.390441,103.9875451,Changi Village / Changi Pt Ferry Terminal,2025-01-09 12:47,112
L9906617,SG,SG-,,1.3689814,103.7736616,Chestnut Close Playground,2020-08-04 00:00,5
L4855403,SG,SG-,,1.3712611,103.7800473,Chestnut Nature Park,2024-12-09 07:09,114
L14524876,SG,SG-,,1.3780505,103.7783146,Chestnut Nature Park: north (Observation Tower),2024-09-20 18:00,44
L4064410,SG,SG-,,1.2809493,103.8420653,Chinatown,2024-11-27 09:28,42
